,energy,protein,total_fat,sat_fat,calcium,iron,magnesium,phosphorus,potassium,sodium,zink,vit_c,thiamin,riboflavin,niacin,vit_b6,folate,vit_b12,vit_a,vit_e,vit_d,vit_k
,kcal,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,IU,mg,IU,µg
u-tangerine,53,0.81,0.31,0.039,37,0.15,12,20,166,2,0.07,26.7,0.058,0.036,0.376,0.078,16,0.00,681,0.20,0,0.0
v-beet,43,1.61,0.17,0.027,16,0.80,23,40,325,78,0.35,4.9,0.031,0.040,0.334,0.067,109,0.00,33,0.04,0,0.2
v-broccoli,34,2.82,0.37,0.114,47,0.73,21,66,316,33,0.41,89.2,0.071,0.117,0.639,0.175,63,0.00,623,0.78,0,101.6
v-cabbage,25,1.28,0.10,0.034,40,0.47,12,26,170,18,0.18,36.6,0.061,0.040,0.234,0.124,43,0.00,98,0.15,0,76.0
v-cabbage-red,31,1.43,0.16,0.021,45,0.80,16,30,243,27,0.22,57.0,0.064,0.069,0.418,0.209,18,0.00,1116,0.11,0,38.2
v-carrot,41,0.93,0.24,0.032,33,0.30,12,35,320,69,0.24,5.9,0.066,0.058,0.983,0.138,19,0.00,16706,0.66,0,13.2
v-cauliflower,25,1.92,0.28,0.130,22,0.42,15,44,299,30,0.27,48.2,0.050,0.060,0.507,0.184,57,0.00,0,0.08,0,15.5
v-eggplant,25,0.98,0.18,0.034,9,0.23,14,24,229,2,0.16,2.2,0.039,0.037,0.649,0.084,22,0.00,23,0.30,0,3.5
v-garlic,149,6.36,0.50,0.089,181,1.70,25,153,401,17,1.16,31.2,0.200,0.110,0.700,1.235,3,0.00,9,0.08,0,1.7
v-green-beans,31,1.83,0.22,0.050,37,1.03,25,38,211,6,0.24,12.2,0.082,0.104,0.734,0.141,33,0.00,690,0.41,0,43.0
v-kale,35,2.92,1.49,0.178,254,1.60,33,55,348,53,0.39,93.4,0.113,0.347,1.180,0.147,62,0.00,4812,0.66,0,389.6
v-okra,33,1.93,0.19,0.026,82,0.62,57,61,299,7,0.58,23.0,0.200,0.060,1.000,0.215,60,0.00,716,0.27,0,31.3
v-onion,40,1.10,0.10,0.042,23,0.21,10,29,146,4,0.17,7.4,0.046,0.027,0.116,0.120,19,0.00,2,0.02,0,0.4
v-peppers,20,0.86,0.17,0.058,10,0.34,10,20,175,3,0.13,80.4,0.057,0.028,0.480,0.224,10,0.00,370,0.37,0,7.4
v-potato,77,2.05,0.09,0.025,12,0.81,23,57,425,6,0.30,19.7,0.081,0.032,1.061,0.298,15,0.00,2,0.01,0,2.0
v-pumpkin,26,1.00,0.10,0.052,21,0.80,12,44,340,1,0.32,9.0,0.050,0.110,0.600,0.061,16,0.00,8513,1.06,0,1.1
v-sweet-potato,86,1.57,0.05,0.018,30,0.61,25,47,337,55,0.30,2.4,0.078,0.061,0.557,0.209,11,0.00,14187,0.26,0,1.8
v-tomato,18,0.88,0.20,0.028,10,0.27,11,24,237,5,0.17,13.7,0.037,0.019,0.594,0.080,15,0.00,833,0.54,0,7.9
