,,f-rice,f-rye,f-wheat-integral,f-wheat-white,g-amaranth,g-barley,g-buckwheat,g-oats,g-quinoa,g-rice,g-wheat-sprouted,d-eggs,d-milk-reduced-fat,d-milk-whole,d-milk-whole-vit-d,l-black-beans,l-chickpeas,l-lentils,l-lentils-sprouted,l-mung,l-mung-sprouted,l-peanuts,l-peas,n-almonds,n-brazilnuts,n-cashew,n-chia,n-flaxseed,n-pumpkin,n-sesame,n-sunflower,n-walnuts,o-canola,o-coconut,o-olive,o-sunflower,u-apple,u-avocado,u-banana,u-dates,u-grapes,u-guava,u-mango,u-olives,u-orange,u-papaya,u-persimmon,u-pineapple,u-raisins,u-tangerine,v-beet,v-broccoli,v-cabbage,v-cabbage-red,v-carrot,v-cauliflower,v-eggplant,v-garlic,v-green-beans,v-kale,v-okra,v-onion,v-peppers,v-potato,v-pumpkin,v-sweet-potato,v-tomato
thiamin,mg,0.443,0.287,0.502,0.785,0.116,0.191,0.101,0.460,0.360,0.413,0.225,0.183,0.039,0.038,0.046,0.900,0.477,0.873,0.228,0.621,0.084,0.640,0.719,0.205,0.617,0.423,0.620,1.644,0.273,0.791,1.163,0.057,0.000,0.000,0.000,0.000,0.017,0.067,0.031,0.052,0.069,0.067,0.028,0.003,0.100,0.023,0.0,0.079,0.106,0.058,0.031,0.071,0.061,0.064,0.066,0.050,0.039,0.200,0.082,0.113,0.200,0.046,0.057,0.081,0.050,0.078,0.037
riboflavin,mg,0.080,0.114,0.165,0.494,0.200,0.114,0.425,0.155,0.318,0.043,0.155,1.977,0.185,0.161,0.169,0.193,0.212,0.211,0.128,0.233,0.124,0.135,0.244,1.138,0.035,0.058,0.170,0.161,0.153,0.247,0.415,0.130,0.000,0.000,0.000,0.000,0.029,0.130,0.073,0.066,0.070,0.040,0.038,0.000,0.050,0.027,0.0,0.032,0.125,0.036,0.040,0.117,0.040,0.069,0.058,0.060,0.037,0.110,0.104,0.347,0.060,0.027,0.028,0.032,0.110,0.061,0.019
niacin,mg,6.340,1.727,4.957,5.904,0.923,4.604,7.020,1.125,1.520,4.308,3.087,0.340,0.092,0.084,0.089,1.955,1.541,2.605,1.128,2.251,0.749,12.066,3.608,3.618,0.295,1.062,8.830,3.080,4.987,4.515,2.284,0.470,0.000,0.000,0.000,0.000,0.075,1.738,0.665,1.274,0.188,1.084,0.669,0.037,0.500,0.357,0.0,0.500,0.766,0.376,0.334,0.639,0.234,0.418,0.983,0.507,0.649,0.700,0.734,1.180,1.000,0.116,0.480,1.061,0.600,0.557,0.594
vit_b6,mg,0.736,0.268,0.407,0.044,0.591,0.260,0.210,0.100,0.487,0.509,0.265,0.499,0.038,0.042,0.036,0.286,0.535,0.540,0.190,0.382,0.088,0.348,0.140,0.137,0.101,0.417,0.0,0.473,0.143,0.790,1.170,0.583,0.000,0.000,0.000,0.000,0.049,0.257,0.367,0.165,0.086,0.110,0.119,0.009,0.093,0.038,0.0,0.112,0.174,0.078,0.067,0.175,0.124,0.209,0.138,0.184,0.084,1.235,0.141,0.147,0.215,0.120,0.224,0.298,0.061,0.209,0.080
folate,µg,16,34,44,291,82,23,30,32,184,20,38,119,5,5,5,444,557,479,100,625,61,240,15,44,22,25,0.0,87,58,97,160,31,0,0,0,0,0.0,81,20,19,2,49,43,0,30,37,0.0,18,5,16,109,63,43,18,19,57,22,3,33,62,60,19,10,15,16,11,15
vit_b12,µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,0.53,0.36,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
vit_a,IU,0,0,9,0,2,22,0,0,14,0,0,1029,190,138,162,17,67,39,45,114,21,0,149,2,0,0,54,0,16,9,50,40,0,0,0,0,28,146,64,10,66,624,1082,330,250,950,0.0,58,0,681,33,623,98,1116,16706,0,23,9,690,4812,716,2,370,2,8513,14187,833
vit_e,mg,0.60,1.43,0.71,0.06,1.19,0.02,0.0,0.42,2.44,0.0,0.0,3.88,0.03,0.0,0.07,0.21,0.82,0.49,0.0,0.51,0.10,8.33,0.12,25.63,5.65,0.90,0.50,0.31,2.18,0.25,0.0,2.08,17.46,0.11,14.35,41.08,0.18,2.07,0.10,0.05,0.19,0.73,0.90,1.65,0.0,0.30,0.0,0.02,0.12,0.20,0.04,0.78,0.15,0.11,0.66,0.08,0.30,0.08,0.41,0.66,0.27,0.02,0.37,0.01,1.06,0.26,0.54
vit_d,IU,0,0,0,0,0,0,0,0,0,0,0,331,49,0.0,51,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vit_k,µg,0.0,5.9,1.9,0.3,0.0,2.2,0.0,2.0,0.0,0.0,0.0,1.2,0.2,0.0,0.3,5.6,9.0,5.0,0.0,9.0,33.0,0.0,15.9,0.0,0.0,34.1,0.0,4.3,7.3,0.0,0.0,2.7,71.3,0.6,60.2,5.4,1.3,21.0,0.5,2.7,14.6,2.6,4.2,1.4,0.0,2.6,0.0,0.7,3.5,0.0,0.2,101.6,76.0,38.2,13.2,15.5,3.5,1.7,43.0,389.6,31.3,0.4,7.4,2.0,1.1,1.8,7.9
